Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Dominican Republic,42.911,60.648,47.539,57.686,58.747,57.971,73.243,67.477,70.825,78.081,68,52,10.369,11.258,11.852,11.852,11.242,11.242,10.243,7.764,8.388,8,7,7,11.85,9,7.075,7.075,6.922,6.922,5.637,185.235,172.906,164.822,162.396,154.027,4.769,6.159,54.149,62.113,67.619,68.631,19.106,8.749,9.616
Ecuador,306.807,356.289,385.155,497.543,543.756,578.805,624.779,611.57,588.224,608.977,531,523,521.894,483.551,381.238,358.516,209.286,216.959,177.727,279.758,446.604,440,444,447,452.49,349,356.574,355.041,377.319,399.294,400.579,366.85,370.092,365.732,370.664,416.4,421.901,423.675,417.67,285.224,344.563,308.376,309.951,308.059,308.261
Egypt,692.891,682.285,755.652,804.792,828.048,1032.144,1307.108,1484.89,1515.156,1821.298,1796,1825,1604.891,1644.761,1702.045,1899.126,1919.29,1935.96,1981.698,2090.181,2092.569,2010,2037,1890,1688.085,1644,1615.715,1646.378,1703.021,1540.409,1517.889,1602.914,1824.264,1580.414,1524.171,1535.121,1557.671,1582.221,1585.76,1578.671,1627.443,1746.176,1721.06,1743.353,1843.636
El Salvador,3.303,0.098,3.318,3.318,3.318,3.318,3.318,3.318,3.318,3.318,3,,,,,,,,,,,,,2,1.65,2,1.65,1.65,1.65,1.65,1.65,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.86,1.137,1.137
Equatorial Guinea,6.594,6.594,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,7,7,6.699,6.699,3.279,3.279,3.279,12.819,21.365,38.375,19.35,25,15,13,18.123,15,26.39,19.058,19.058,16.369,16.907,14.105,33.806,26.676,24.753,44.47,41.155,38.138,35.807,51.705,55.612,57.799,70.687,79.951,69.568
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,25,,,,24.904,16.278,14.012,14.012,13.92,13.92,14.191,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,,701.182,698.429,679.521,595.193,550.097,566.838,453.757,363.058,281,246,233,226.636,164,101.131,126.237,110.457,95.49,98.701,73.733,85.338,75.646,64.959,67.988,80.785,84.174,80.665,80.414,80.473,84.129,82.18,83.026,84.209
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,84.326,84.326,84.326,84.326,98.747,105.685,105.685,101.543,119.688,110,102,102,101.287,98,97.669,125.06,159.314,149.99,149.99,153.014,153.014,223.09,433.778,433.778,366.01,335.796,335.796,335.796,335.796,338.069,338.069,338.069,316.958
Ethiopia (...1991),32.493,32.036,34.577,43.177,43.177,46.797,71.989,84.752,94.142,94.142,94,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),4.383,4.383,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4,4,4.375,8.486,9.36,9.772,11.761,19.977,24.151,25.144,31.061,36,36,6,37.279,36,36.145,37.045,35.562,35.066,34.576,6.052,6.052,6.052,6.052,6.052,6.052,5.592,5.592,5.592,3.458,3.458,6.347,6.347,6.347
Faroe Islands,39.082,35.06,38.03,39.872,54.726,67.497,73.105,83.943,,,,,,,,,,,,,,,,,,,,,,,,206.997,208.176,284.829,329.393,317.261,370.586,373.591,392.987,410.951,393.235,407.975,365.162,297.721,328.901
Federal Republic of Germany,13745.096,13332.148,12409.497,12354.826,10797.478,9519.256,9240.871,7744.6,5659.148,4994.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,10.815,14.007,25.254,25.688,26.551,27.754,26.764,26.34,32.398,36.752,64,53,59.616,66.751,38.273,27.385,26.869,29.219,29.542,24.511,24.391,25,24,32,16.604,15,14.946,15.445,15.593,16.151,17.04,17.55,17.253,17.012,15.343,24.252,23.901,241.415,67.152,72.734,74.438,72.69,72.631,71.49,93.3
Finland,3845.184,3831.139,3794.738,3597.336,3600.996,3209.2,2853.85,1907.837,1400.594,810.888,838,983,838.965,1082.581,1237.292,1175.898,1157.987,1179.86,1189.616,1255.167,1239.524,1215,1226,1222,1146.455,1113,1121.054,1009.634,1203.187,1218.915,1171.308,1172.812,1178.422,1347.339,1347.491,1214.374,1196.646,1214.135,1062.011,1124.659,1162.723,1138.4,1261.937,1151.935,1154.799
France,20824.828,20861.286,20112.426,18727.257,16819.51,15093.205,13712.641,9305.297,8406.743,6854.064,6653,5574,5621.236,5744.903,6277.165,6454.787,6201.605,6258.838,6828.189,7221.445,7292.503,6883,6280,6360,6389.246,6311,7297.378,7635.435,7922.286,7925.609,8822.32,6918.993,8461.266,7831.026,7426.602,6498.397,6938.695,7274.503,7008.166,7294.4,7426.535,7861.587,7936.15,8239.149,9638.557
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.241,32.072,34.9,1.06,11.305,11.305,11.305,11.519,11.155,14.455,16.684,20.908,23.163,22.092,22.039,26.435,26.435,26.435
French Southern Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.724,104.724,0.367,0.367,0.367,0.367,0.367,13.373
Gabon,143.062,143.062,143.594,143.594,143.789,169.212,169.612,170.176,29.276,29.276,29,29,29.956,30.186,49.265,37,43.836,44.259,45.36,30.265,11.631,8,8,8,7.842,8,8.185,7.931,7.931,8.261,8.85,330.873,330.973,404.839,404.839,406.907,333.41,332.638,424.871,424.757,608.729,1156.911,1512.937,2183.003,5614.502
Gambia,4.405,4.405,3.492,4.204,4.243,4.223,4.046,4.046,5.098,5.098,2,2,2.029,2.029,1.524,2.745,2.745,2.556,1.865,2.075,1.865,2,2,2,1.726,12,11.225,11.713,11.713,11.713,11.713,9.899,3.421,3.006,3.006,3.006,3.006,4.259,7.747,5.474,5.474,5.474,7.209,20.114,17.358
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,,,0.036,634.59,407.653,290.457,152.56,147.922,183.76,142,348,791,1106.007,1340,1501.528,1605.421,1472.611,914.977,935.2,705.914,378.121,156.687,190.621,156.421,93.693,80.034,79.106,108.936,58.189,57.683,8.134,8.753,8.753
Germany,0,0,0,0,0,0,0,0,0,0,6778,7100,7174.901,6554.199,6088.726,6823.48,6599.668,6874.256,8309.011,9791.65,7788.31,7773,7450,7730,6902.179,9381,13578.168,13264.24,15031.016,17949.005,17570.219,16499.808,17666.018,16190.523,14077.202,12560.051,11043.154,10545.946,9987.474,8609.215,8789.121,7901.883,7134.568,7270.555,8055.891
Ghana,226.848,294.691,295.891,297.321,296.757,208.896,177.158,178.268,143.029,122.465,114,110,133.069,132.023,107.723,92.51,96.001,113.322,105.761,89.82,92.076,94,99,102,96.462,88,88.755,86.974,85.518,85.923,84.657,27.913,46.992,43.738,51.923,50.809,35.717,39.509,40.133,39.259,40.36,41.914,43.372,44.744,44.874
Gibraltar,3.805,3.805,63.73,25.462,376.649,448.93,1020.889,2998.964,5293.273,5795.834,5026,3849,1634.642,859.252,705.997,617.721,579.435,579.854,566.948,561,728.47,922,1180,1396,1255.941,1472,1417.991,,,,,2387.009,2361.636,3087.676,3719.326,3679.758,3357.996,3009.1,2505.446,2223.992,2089.117,1944.75,1387.305,1104.002,957.943
